""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"cluster_0"	"-0.432870798643232"	"0.0912118408880666"	"0.278445883441258"	"0.385877274128893"	"-0.211964230650632"	"LumB"	"0.99"	"35.2800573507464"	"med"	"-0.448669905010889"	"23.2218072122191"	"med"	"5.34244071633646"	"-0.160965836313948"
"cluster_1"	"-0.421153253160654"	"0.0729571384520506"	"0.262041319765649"	"0.375886524822695"	"-0.212334258402713"	"LumB"	"0.99"	"35.5833226934393"	"med"	"-0.420192813133979"	"24.3315776515265"	"med"	"5.88851668521575"	"-0.212586628476826"
"cluster_2"	"-0.345050878815911"	"0.178661732963306"	"0.218254702436016"	"0.263398088189948"	"-0.17372802960222"	"LumB"	"0.92"	"37.4447748718507"	"med"	"-0.568786666048318"	"19.1035126893258"	"med"	"-3.19675547343021"	"0.1707310996662"
"cluster_3"	"-0.219611470860315"	"0.0110391612704286"	"0.120074005550416"	"0.269935245143386"	"-0.143755781683626"	"LumB"	"0.93"	"39.786834053654"	"med"	"-0.384521544270174"	"26.1999186971274"	"med"	"6.23956330785223"	"-0.35655222171386"
"cluster_4"	"-0.425593586185631"	"0.0902251002158495"	"0.272402096823928"	"0.374036386062288"	"-0.194696268886833"	"LumB"	"0.99"	"35.354169295605"	"med"	"-0.41654252801539"	"24.4913541260874"	"med"	"5.45613453146598"	"-0.218955409477621"
"cluster_5"	"-0.343694110391613"	"0.021399938328708"	"0.216527906259636"	"0.382300339192106"	"-0.220968239284613"	"LumB"	"0.99"	"37.2047456815947"	"med"	"-0.544380095261113"	"19.5041677111209"	"med"	"5.2661070410774"	"-0.497949493478182"
"cluster_6"	"-0.0945420906567993"	"0.200616712920136"	"-0.0581560283687943"	"0.210730804810361"	"-0.187912426765341"	"LumB"	"0.84"	"49.5851441460521"	"med"	"-0.217782562104429"	"36.0220413891988"	"med"	"-4.00141312639637"	"-0.179267402175368"
"cluster_7"	"-0.295097132284921"	"0.121430773974715"	"0.212704286154795"	"0.305827937095282"	"-0.227505396238051"	"LumB"	"0.96"	"37.7923743755782"	"med"	"-0.307253325577239"	"29.3559329585907"	"med"	"6.15602103837476"	"0.106552653024212"
"cluster_8"	"-0.354918285538082"	"0.218378045020043"	"0.19395621338267"	"0.200740055504163"	"-0.132038236201048"	"Her2"	"0.86"	"37.9379415256752"	"med"	"-0.666176282063799"	"15.4577589428098"	"med"	"-3.29747494879127"	"0.308916219769115"
"cluster_9"	"-0.479370952821462"	"0.0581560283687943"	"0.334443416589577"	"0.380080172679618"	"-0.191859389454209"	"LumB"	"0.99"	"32.146669436143"	"med"	"-0.552778827397129"	"18.151038756884"	"med"	"3.32839813119857"	"-0.0854695737662379"
